tier,family,k,menu_rate_bpw,global_mean_kld,agentic,chat,code,multilingual,prose,reasoning
d4_k256,d4,256,2.25,0.283803298828,0.300395389610,0.139443211538,0.237438592105,0.486786578947,0.408635423077,0.064219421053
d4_k512,d4,512,2.5,0.235656486328,0.298567876623,0.136354250000,0.193832697368,0.322874157895,0.289832525641,0.075126171053
d4_k1024,d4,1024,2.75,0.147352048828,0.201734545455,0.068889596154,0.124321118421,0.199625855263,0.173294743590,0.034972500000
d4_k2048,d4,2048,3.0,0.098564361328,0.136239142857,0.044389615385,0.079425486842,0.135002223684,0.115928551282,0.024170157895
d4_k4096,d4,4096,3.25,0.067160072266,0.094771149351,0.029665980769,0.052149197368,0.092185842105,0.077426076923,0.016314105263
d4_k8192,d4,8192,3.5,0.057691763672,0.082506727273,0.023555269231,0.043002894737,0.078836355263,0.068512012821,0.013204644737
d8_k256,d8,256,1.0,1.757601742188,1.523265629870,1.429375576923,1.757287934211,2.819603434211,2.155352923077,0.987110302632
d8_k512,d8,512,1.125,1.345674781250,1.217546253247,1.065833288462,1.213571723684,2.188690750000,1.702592782051,0.719550644737
d8_k1024,d8,1024,1.25,1.030811470703,1.004581019481,0.812871250000,0.886143236842,1.558862171053,1.330335974359,0.542290447368
d8_k2048,d8,2048,1.375,0.817377718750,0.843827298701,0.627557807692,0.682447394737,1.196307684211,1.045309089744,0.415730092105
d8_k4096,d8,4096,1.5,0.664967763672,0.717524357143,0.473522384615,0.533827486842,0.970321776316,0.860425653846,0.314645197368
native_mxfp4,native,,4.25,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
qtip3_3.0117,qtip,3,3.0117,0.065880952067,0.076264864119,0.020158329234,0.053585325180,0.110742530818,0.093755797724,0.010998777481
qtip2_2.0117,qtip,2,2.0117,0.185819145510,0.204396131051,0.057680778771,0.140661093585,0.337741070986,0.264941896439,0.034705983859
