file,timestamp,variant,latency_mode,prefix_caching_enabled,concurrency,pp,tg,n,mean,median,std,min,max
flashqla-hkv-chat-20260506-1536.summary.json,,flashqla-hkv-chat-20260506-1536.summary,,,,,,0,,,,,
flashqla-hkv-correctness-timing-20260506-152738.json,,flashqla-hkv-correctness-timing-20260506-152738,,,,,,0,,,,,
flashqla-hkv-state-propagation-canonical-20260506-153109.json,,flashqla-hkv-state-propagation-canonical-20260506-153109,,,,,,0,,,,,
result-20260508-105427-mbt4096.json,2026-05-08 18:01:02Z,mbt4096,api,False,1,2048,32,5,2831.380323048769,2820.70434470494,154.18345638376988,2613.51717828917,3083.2154070417187
result-20260508-110349-fusedo.json,2026-05-08 18:10:17Z,fusedo,api,False,1,2048,32,4,2744.5167932982695,2777.4170263730202,153.22111152202675,2502.8194946694116,2920.4136257776267
result-20260508-111118-ppscan-pp1024.json,2026-05-08 18:19:41Z,ppscan-pp1024,api,False,1,1024,32,5,2778.0755136999296,2765.1906512083415,40.9467175931382,2738.062980144965,2855.8718692120497
result-20260508-111118-ppscan-pp1536.json,2026-05-08 18:18:02Z,ppscan-pp1536,api,False,1,1536,32,5,2655.202451242966,2730.185202023978,122.98260361968579,2444.3660803481866,2770.3176942378473
result-20260508-112029-locked3003.json,2026-05-08 18:22:11Z,locked3003,api,False,1,2048,32,5,3018.2011122741633,3016.2825792822873,16.598204056583185,2997.426333719709,3046.7185871155625
result-20260508-113015-nochunk.json,2026-05-08 18:35:58Z,nochunk,api,False,1,2048,32,5,3110.14874943947,3110.55988133815,7.350504290269634,3101.6355673733674,3122.3175643361055
result-20260508-115520-skipunusedo.json,2026-05-08 19:00:47Z,skipunusedo,api,False,1,2048,32,5,3128.5960868889647,3128.086913285629,6.595656240046393,3120.1612989285654,3138.8822504277273
result-20260508-120207-gemm-flashinfer-cutlass.json,2026-05-08 19:08:06Z,gemm-flashinfer-cutlass,api,False,1,2048,32,3,3152.7454928519746,3153.397578341609,5.74478062293709,3145.406259321633,3159.4326408926822
result-20260508-120936-gemm-flashinfer-cudnn.json,2026-05-08 19:16:01Z,gemm-flashinfer-cudnn,api,False,1,2048,32,3,2558.7121950300093,3115.9469555864507,788.5736238404388,1443.5007635262452,3116.6888659773317
result-20260508-121706-gemm-flashinfer-cutlass-mbt16384.json,2026-05-08 19:24:01Z,gemm-flashinfer-cutlass-mbt16384,api,False,1,2048,32,3,2745.420566600962,2805.005457827374,110.17144839826173,2590.9531330534924,2840.3031089220194
result-20260508-122413-gemm-flashinfer-cutlass-mbt8192-nographmem.json,2026-05-08 19:30:11Z,gemm-flashinfer-cutlass-mbt8192-nographmem,api,False,1,2048,32,3,3130.770654112745,3128.4916993661163,4.433177331200381,3126.852032453625,3136.9682305184942
result-20260508-123256-fusenorm2-cutlass.json,2026-05-08 19:38:35Z,fusenorm2-cutlass,api,False,1,2048,32,3,3106.1450446208232,3103.3040160582104,6.11446515780173,3100.4926214799007,3114.638496324359
result-20260508-123848-fusenorm2-flashinfer-cutlass.json,2026-05-08 19:44:40Z,fusenorm2-flashinfer-cutlass,api,False,1,2048,32,3,3150.624359478239,3154.820739924607,8.187737856541323,3139.1799737631363,3157.872364746974
result-20260508-124513-hkv-w2-s3.json,2026-05-08 19:50:59Z,hkv-w2-s3,api,False,1,2048,32,3,3011.4100450038836,3008.6712800846317,6.2471873305934285,3005.505130291061,3020.0537246359586
result-20260508-125111-hkv-w2-s2.json,2026-05-08 19:56:50Z,hkv-w2-s2,api,False,1,2048,32,3,3019.998617538369,3018.8719085793205,6.134283226928269,3013.1126739802617,3028.0112700555246
result-20260508-125702-hkv-w4-s2.json,2026-05-08 20:02:42Z,hkv-w4-s2,api,False,1,2048,32,3,3091.6785541354257,3089.7492573453246,9.687214459649985,3080.8970735339662,3104.3893315269866
result-20260508-130358-fusedo-noh.json,2026-05-08 20:09:19Z,fusedo-noh,api,False,1,2048,32,3,3098.8431081970393,2993.286610831472,157.5212898331564,2981.7307905614234,3321.511923198223
result-20260508-131031-finalstate-direct.json,2026-05-08 20:16:09Z,finalstate-direct,api,False,1,2048,32,5,3132.9980884204597,3135.0115501949517,8.415501860049885,3120.1285548758096,3144.6362725237404
result-20260508-131704-allflashqla.json,2026-05-08 20:22:09Z,allflashqla,api,False,1,2048,32,5,3127.380886804154,3124.771057633069,8.755936754468392,3115.520414769139,3140.172116810825
result-20260508-132320-state-direct-both.json,2026-05-08 20:28:53Z,state-direct-both,api,False,1,2048,32,5,3116.0541301080475,3116.503315143224,6.532921648336267,3108.319462756907,3125.937442640411
result-20260508-133154-fusedo-directstore.json,2026-05-08 20:37:19Z,fusedo-directstore,api,False,1,2048,32,5,3259.927215046771,3327.977321999213,138.5362738868072,2982.9299010056457,3333.2864060228594
result-20260508-133749-fusedo-directstore-n30.json,2026-05-08 20:44:28Z,fusedo-directstore,api,False,1,2048,32,25,3207.131034974449,3300.2009108801694,156.75228977244072,2945.3267345929544,3321.042899812354
result-20260508-134528-fusedo-directstore-n30-rerun.json,2026-05-08 20:47:45Z,fusedo-directstore-n30-rerun,api,False,1,2048,32,26,3175.78579248771,3299.1464786801994,169.37566467295636,2943.3805005369545,3329.741090727483
result-20260508-135027-fusedo-directstore-all-n10.json,2026-05-08 20:55:43Z,fusedo-directstore-all,api,False,1,2048,32,6,3218.9564213654608,3319.868540261026,161.3643193724033,2987.7392226815628,3347.08534178244
result-20260508-140340-fusedo-sharedmanual.json,2026-05-08 21:08:59Z,fusedo-sharedmanual,api,False,1,2048,32,4,3043.4276526885037,2965.6141148659135,138.92769616514815,2958.5371904211247,3283.945190601064
result-20260508-143200-fusedo-directstore-mbt4096-n10.json,2026-05-08 21:31:50Z,fusedo-directstore-mbt4096,api,False,1,2048,32,9,3021.459115355778,3030.5353085783327,138.8807909072562,2713.1921564719514,3247.958062610738
result-20260508-143600-current-pp3072-n5.json,2026-05-08 21:39:02Z,current-pp3072,api,False,1,3072,32,5,2848.694466524043,2822.515471376821,90.14889358992309,2723.2908398985783,2977.838570764947
result-20260508-144500-fusedo-directstore-flashinfer-cutlass-n10.json,2026-05-08 21:46:05Z,fusedo-directstore-flashinfer-cutlass,api,False,1,2048,32,5,2873.0251166379394,2986.3773177243143,199.41151726948164,2494.6714702278755,3025.427781124404
result-20260508-145700-hterm-vlocal-n5.json,2026-05-08 22:02:02Z,hterm-vlocal,api,False,1,2048,32,5,2566.4179376729708,2564.029547835905,104.94524873601864,2427.7308459461146,2721.1177603495744
result-20260508-150400-hterm-vlocal-nostate-n5.json,2026-05-08 22:09:50Z,hterm-vlocal-nostate,api,False,1,2048,32,5,2752.0913505907038,2803.204820802968,165.94869394386095,2463.3653425305833,2969.990020152555
result-20260508-151700-hkvo-exp2-n5.json,2026-05-08 22:22:04Z,hkvo-exp2,api,False,1,2048,32,5,2695.1815334825674,2741.5245191170707,201.9452820257806,2418.867492730414,2950.7115198018605
result-20260508-153200-current-maxseq2-n5.json,2026-05-08 22:37:31Z,current-maxseq2,api,False,1,2048,32,5,2804.7307158836493,2836.1719401126256,135.2928898084302,2629.572492285617,3018.216353882643
result-20260508-154500-current-prepared-n5.json,2026-05-08 22:44:56Z,current-prepared,api,False,1,2048,32,5,3123.526646327312,3121.2988297091347,8.725510393849028,3112.4578900952433,3139.2244822250823
result-20260508-155000-fusedo-qkgemmv2-n5.json,2026-05-08 22:55:15Z,fusedo-qkgemmv2,api,False,1,2048,32,5,2901.7828322206406,2926.239341379113,111.7824996742899,2748.3246306342576,3027.545378714916
result-20260508-160200-fusedo-qkgemmv2-warm10-n5.json,2026-05-08 23:02:54Z,fusedo-qkgemmv2-warm10,api,False,1,2048,32,5,3143.4896754016713,3140.4911504003626,34.6181200797825,3105.089628062543,3206.8496656056445
result-20260508-160953-hkv-bk32-bv128.json,2026-05-08 23:16:10Z,hkv-bk32-bv128,api,False,1,2048,32,3,2690.8791960873714,2672.508065758286,174.35701648829632,2487.1154011310773,2913.014121372751
result-20260508-161625-hkv-bk128-bv32.json,2026-05-08 23:22:52Z,hkv-bk128-bv32,api,False,1,2048,32,3,2722.9278855256944,2722.994129821935,12.548452519010745,2707.5262175874636,2738.263309167684
result-20260508-162514-current-enforce-eager-n5.json,2026-05-08 23:30:39Z,current-enforce-eager,api,False,1,2048,32,5,2037.4899932722587,2037.8898933522066,5.484095281419277,2028.9917564533425,2046.1879747703679
result-20260508-163310-current-cgraph1-n5.json,2026-05-08 23:39:43Z,current-cgraph1,api,False,1,2048,32,5,2801.218847914635,2751.4547839056922,142.75363845344444,2595.305451847438,3007.3577154763248
result-20260508-164749-output-novarlen-entry-n5.json,2026-05-08 23:53:58Z,output-novarlen-entry,api,False,1,2048,32,5,2714.415332798253,2623.447820136962,147.50886818024347,2573.057749923277,2958.3082739975107
result-20260508-170158-output-preqk-n5.json,2026-05-09 00:08:19Z,output-preqk,api,False,1,2048,32,5,2701.299922287759,2778.6489509353673,149.90112209977488,2517.9613587892404,2868.515626243258
result-20260508-171120-fusedo-qkgemmv2-kpack2-n5.json,2026-05-09 00:17:49Z,fusedo-qkgemmv2-kpack2,api,False,1,2048,32,5,2943.8224412965797,2990.8374952244026,107.73050999950689,2751.730749061423,3053.129024719963
result-20260508-171916-fusedo-qkgemmv2-kpack4-n5.json,2026-05-09 00:25:29Z,fusedo-qkgemmv2-kpack4,api,False,1,2048,32,5,2813.4581008025657,2800.373049050145,233.34920837988653,2458.272286216669,3109.719838592263
result-20260508-172834-fusedo-qkgemmv2-fullrow-n5.json,2026-05-09 00:34:55Z,fusedo-qkgemmv2-fullrow,api,False,1,2048,32,5,2909.40404724013,2893.0444855590235,163.8751662585437,2645.470820797695,3144.967120363786
result-20260508-173615-fusedo-qkgemmv2-fullcol-n5.json,2026-05-09 00:42:31Z,fusedo-qkgemmv2-fullcol,api,False,1,2048,32,5,2903.9451063592287,2907.953332328736,131.36765797644262,2677.7415315426824,3061.889203236777
result-20260508-182700-hkvo-gqa3-entry-n3.json,2026-05-09 01:32:09Z,hkvo-gqa3-entry,api,False,1,2048,32,3,2827.9651561223886,2706.461202682105,181.6664623772807,2692.677220317555,3084.7570453675057
result-20260508-182800-current-warm10-n5.json,2026-05-09 01:16:11Z,current-warm10,api,False,1,2048,32,5,1914.015485315123,2714.498099917808,1149.1455401996263,517.0491431468953,3101.11194958346
result-20260508-183600-current-warm10-entry-n5.json,2026-05-09 01:39:24Z,current-warm10-entry,api,False,1,2048,32,5,3104.317204638218,3107.7676917993454,5.696001523043836,3093.7403770458463,3108.644431368419
result-20260508-184300-hkvo-gqa3-bv64-n3.json,2026-05-09 01:47:10Z,hkvo-gqa3-bv64,api,False,1,2048,32,3,2621.112329224524,2616.467554687715,117.35143373009682,2479.7654502948626,2767.1039826909937
result-20260508-185100-current-stages1-n3.json,2026-05-09 01:54:57Z,current-stages1,api,False,1,2048,32,3,2726.7003629972764,2687.785850114662,77.6076767220245,2657.283141973919,2835.032096903247
result-20260508-190000-fusedo-qkgemm-alias-n3.json,2026-05-09 02:04:44Z,fusedo-qkgemm-alias,api,False,1,2048,32,3,3309.202403894231,3311.3635961873965,6.926509124971274,3299.847647434273,3316.3959680610237
result-20260508-190600-fusedo-qkgemm-alias-n30.json,2026-05-09 02:12:44Z,fusedo-qkgemm-alias,api,False,1,2048,32,30,3110.205760668551,3196.971109787424,188.32187276423898,2432.965413074335,3244.0552769782885
result-20260508-191600-fusedo-qkgemm-alias-warm10-n5.json,2026-05-09 02:20:37Z,fusedo-qkgemm-alias-warm10,api,False,1,2048,32,5,3166.9443018154234,3147.0758960575463,31.145725023381214,3134.720429039392,3210.6698119666607
